JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Accountant II (Senior Budget Officer),City of Charlotte and Mecklenburg County,"Charlotte, NC",21 days ago,2021-02-02,Ability to work flexible schedules and hours in completion of routine work and special assignments. Under general supervisions this position will assist with…,"$60,806 - $76,007 a year",https://www.indeed.com/rc/clk?jk=1b771b99161b3911&fccid=d7e0d7cc61aa08f2&vjs=3
Senior Accountant,Childress Klein,"Charlotte, NC",30+ days ago,2021-02-02,This positionwill partner with team members and senior leadershipto ensure the efficient operation of the accounting department.,,https://www.indeed.com/rc/clk?jk=e8934e1168d9ca5a&fccid=9b5266006632af9e&vjs=3
SENIOR ACCOUNTANT,CABARRUS COUNTY,"Cabarrus County, NC",25 days ago,2021-02-02,"Prepares various reports, audit work papers, exhibits, schedules and notes for the Comprehensive Annual Financial Report (CAFR).","$57,616 - $65,666 a year",https://www.indeed.com/rc/clk?jk=62cb75daa9592244&fccid=d38d6b1b38a7d157&vjs=3
Senior Accountant - Friends of the Children - Virtual/Remote NC,Friends of the Children - National,"Charlotte, NC",8 days ago,2021-02-02,Support budgeting and planning activities for current and expanding chapters. Assist the staff accountants and review data entry to ensure accurate financial…,,https://www.indeed.com/rc/clk?jk=7b4efc48def53c28&fccid=c645af9090b4ae7a&vjs=3
Senior Construction Accountant,Valeo Groupe Americas,"Charlotte, NC",19 days ago,2021-02-02,"Experience in preparing and reviewing G702/G703 pay applications. Leads and develops team by recruiting, selecting, orienting, training and coaching employees.",$703 a week,https://www.indeed.com/rc/clk?jk=f60f34e2b524bc37&fccid=026bd22bf9da0ecd&vjs=3
Senior PE Fund Accountant and Client Service Manager – VP,Apex Fund Services Limited,"Charlotte, NC",30+ days ago,2021-02-02,We are looking for highly motivated individuals with a particular focus on attention to detail and service standards.,,https://www.indeed.com/rc/clk?jk=cfb16cac95ee8df1&fccid=b00f047383293814&vjs=3
"Senior Accountant, Supply Chain Finance",Sealed Air Corporation,"Charlotte, NC",17 days ago,2021-02-02,Strong organization and planning skills. This position will be responsible for month-end closing activities and ensuring compliance with internal controls and…,,https://www.indeed.com/rc/clk?jk=b0e12d557f36aa44&fccid=66c010dc97a69d7c&vjs=3
"Senior Accountant - Charlotte, NC",Dentsply Sirona,"Charlotte, NC",30+ days ago,2021-02-02,"Dentsply Sirona’s products provide innovative, high-quality and effective solutions to advance patient care and deliver better and safer dentistry.",,https://www.indeed.com/rc/clk?jk=bae0642e7c444d29&fccid=bb44f58e3327622b&vjs=3
Senior Property Accountant,Colliers International,"Charlotte, NC",30+ days ago,2021-02-02,This position accounts for customers who require more complex accrual or GAAP basis financial accounting with complex financial reporting requirements.,,https://www.indeed.com/rc/clk?jk=9ceed6b488872bf8&fccid=1a9a1146f8fe1ec1&vjs=3
Sr. Cost Accountant,Wastequip,"Charlotte, NC",7 days ago,2021-02-02,"Perform ad-hoc analysis through research to support finance function, including supporting schedules for internal and external reporting requirements;",,https://www.indeed.com/rc/clk?jk=80f5775a5ee35280&fccid=d07b8225d33aac8c&vjs=3
Sr. Accountant,P2 Consultancy Services,"Charlotte, NC",30+ days ago,2021-02-02,"Develop, implement, modify, and document record keeping and accounting systems making use of current computer technology. Preparing budget and variance reports.",,https://www.indeed.com/rc/clk?jk=c82bf19dd96dd669&fccid=17c46caafa9396ec&vjs=3
"SENIOR ACCOUNTANT, INCOME TAX - INTERNATIONAL",Compass Group,"Charlotte, NC",30+ days ago,2021-02-02,"This role is primarily responsible for the preparation of U.S. international tax compliance and support of the international tax team with research, planning,…",,https://www.indeed.com/rc/clk?jk=4d236139f609812c&fccid=c55f4ad42cee2cd3&vjs=3
